x, y, z
478, 527, 711

478, 527, 711

478, 527, 711

478, 530, 715

478, 530, 715

478, 530, 715

478, 529, 716

478, 529, 716

479, 526, 712

479, 526, 712

475, 530, 715

475, 530, 715

475, 531, 715

475, 531, 715

480, 528, 711

480, 528, 711

471, 527, 712

471, 527, 712

476, 528, 716

476, 528, 716

483, 527, 712

483, 527, 712

476, 529, 712

476, 529, 712

473, 528, 714

473, 528, 714

479, 531, 718

479, 531, 718

482, 531, 713

482, 531, 713

475, 524, 711

475, 524, 711

475, 527, 713

475, 527, 713

479, 529, 716

479, 529, 716

476, 531, 713

476, 531, 713

null
474, 528, 714

474, 528, 714

479, 526, 709

479, 526, 709

479, 526, 709

474, 528, 714

474, 528, 714

474, 528, 714

480, 529, 712

480, 529, 712

475, 529, 716

475, 529, 716

478, 531, 714

478, 531, 714

478, 528, 712

478, 528, 712

478, 528, 712

474, 526, 714

474, 526, 714

479, 530, 715

479, 530, 715

479, 529, 714

479, 529, 714

471, 528, 713

471, 528, 713

479, 529, 713

479, 529, 713

479, 529, 713

479, 529, 713

477, 528, 714

477, 528, 714

477, 527, 711

477, 527, 711

478, 529, 717

478, 529, 717

477, 529, 713

477, 529, 713

478, 529, 714

478, 529, 714

474, 527, 713

474, 527, 713

null
475, 529, 715

475, 529, 715

482, 528, 712

482, 528, 712

470, 529, 713

470, 529, 713

470, 529, 713

481, 527, 713

481, 527, 713

475, 532, 717

475, 532, 717

475, 532, 717

477, 526, 713

477, 526, 713

477, 526, 713

478, 529, 712

478, 529, 712

478, 529, 712

475, 528, 712

475, 528, 712

474, 531, 716

474, 531, 716

480, 527, 712

480, 527, 712

480, 527, 712

473, 531, 717

473, 531, 717

473, 526, 709

473, 526, 709

476, 529, 715

476, 529, 715

476, 529, 712

476, 529, 712

475, 528, 714

475, 528, 714

475, 529, 714

475, 529, 714

479, 529, 714

479, 529, 714

472, 527, 713

472, 527, 713

478, 529, 715

478, 529, 715

476, 529, 713

476, 529, 713

474, 529, 713

474, 529, 713

475, 527, 710

475, 527, 710

475, 527, 710

477, 528, 714

477, 528, 714

477, 528, 714

475, 529, 715

475, 529, 715

475, 527, 711

475, 527, 711

475, 527, 711

474, 530, 714

474, 530, 714

474, 530, 714

477, 526, 711

477, 526, 711

477, 526, 711

472, 527, 715

472, 527, 715

479, 529, 714

479, 529, 714

473, 527, 713

473, 527, 713

479, 529, 714

479, 529, 714

474, 528, 713

474, 528, 713

476, 529, 715

476, 529, 715

477, 528, 713

477, 528, 713

473, 527, 713

473, 527, 713

477, 529, 714

477, 529, 714

474, 529, 715

474, 529, 715

476, 527, 713

476, 527, 713

475, 528, 710

475, 528, 710

477, 529, 715

477, 529, 715

475, 527, 715

475, 527, 715

477, 530, 713

477, 530, 713

477, 530, 713

475, 527, 712

475, 527, 712

478, 528, 715

478, 528, 715

478, 528, 715

474, 528, 713

474, 528, 713

474, 528, 713

478, 529, 713

478, 529, 713

478, 529, 713

476, 527, 713

476, 527, 713

476, 529, 714

476, 529, 714

478, 529, 713

478, 529, 713

478, 529, 713

474, 529, 714

474, 529, 714

478, 529, 715

478, 529, 715

474, 527, 713

474, 527, 713

478, 528, 712

478, 528, 712

476, 529, 713

476, 529, 713

478, 528, 714

478, 528, 714

477, 529, 713

477, 529, 713

474, 529, 713

474, 529, 713

478, 527, 715

478, 527, 715

477, 529, 712

477, 529, 712

476, 527, 713

476, 527, 713

476, 530, 715

476, 530, 715

478, 528, 713

478, 528, 713

475, 529, 717

475, 529, 717

478, 527, 712

478, 527, 712

478, 527, 712

476, 529, 714

476, 529, 714

476, 529, 714

476, 527, 713

476, 527, 713

476, 527, 713

479, 529, 712

479, 529, 712

474, 530, 713

474, 530, 713

474, 530, 713

479, 528, 715

479, 528, 715

476, 529, 713

476, 529, 713

478, 528, 712

478, 528, 712

478, 528, 712

475, 530, 714

475, 530, 714

480, 528, 714

480, 528, 714

475, 529, 713

475, 529, 713

478, 528, 713

478, 528, 713

475, 529, 714

